Prottoy,-66,4
Prottoy,-66,4
Prottoy,-68,4
Prottoy,-79,4
Prottoy,-77,4
Prottoy,-72,4
Prottoy,-78,4
Prottoy,-80,4
Prottoy,-70,4
Prottoy,-78,4
Prottoy,-68,4
Prottoy,-68,4
Prottoy,-81,4
Prottoy,-68,4
Prottoy,-67,4
Prottoy,-82,4
Prottoy,-83,4
Prottoy,-67,4
Prottoy,-86,4
Prottoy,-67,4
Prottoy,-68,4
Prottoy,-67,4
Prottoy,-85,4
Prottoy,-67,4
Prottoy,-67,4
Prottoy,-84,4
Prottoy,-66,4
Prottoy,-67,4
Prottoy,-67,4
Prottoy,-84,4
Prottoy,-67,4
Prottoy,-66,4
Prottoy,-66,4
Prottoy,-66,4
Prottoy,-67,4
Prottoy,-68,4
Prottoy,-67,4
Prottoy,-88,4
Prottoy,-67,4
Prottoy,-86,4
Prottoy,-66,4
Prottoy,-80,4
Prottoy,-67,4
Prottoy,-66,4
Prottoy,-81,4
Prottoy,-67,4
Prottoy,-67,4
Prottoy,-67,4
Prottoy,-67,4
Prottoy,-68,4
Prottoy,-67,4
Prottoy,-84,4
Prottoy,-66,4
Prottoy,-80,4
Prottoy,-84,4
Prottoy,-67,4
Prottoy,-68,4
Prottoy,-85,4
Prottoy,-69,4
Prottoy,-67,4
Prottoy,-66,4
Prottoy,-66,4
Prottoy,-67,4
Prottoy,-67,4
Prottoy,-67,4
Prottoy,-67,4
Prottoy,-88,4
Prottoy,-66,4
Prottoy,-82,4
Prottoy,-67,4
Prottoy,-67,4
Prottoy,-67,4
Prottoy,-87,4
Prottoy,-87,4
Prottoy,-86,4
Prottoy,-66,4
Prottoy,-88,4
Prottoy,-87,4
Prottoy,-66,4
Prottoy,-67,4
Prottoy,-82,4
Prottoy,-66,4
Prottoy,-87,4
Prottoy,-66,4
Prottoy,-66,4
Prottoy,-67,4
Prottoy,-87,4
Prottoy,-67,4
Prottoy,-67,4
Prottoy,-67,4
Prottoy,-66,4
Prottoy,-66,4
Prottoy,-88,4
Prottoy,-66,4
Prottoy,-89,4
Prottoy,-88,4
Prottoy,-86,4
Prottoy,-65,4
Prottoy,-66,4
Prottoy,-88,4
